K053800,안랩
K053950,경남제약
K053980,오상자이엘
K054040,한국컴퓨터
K054050,농우바이오
K054090,삼진엘앤디
K054180,메디콕스
K054210,이랜텍
K054300,팬스타엔터프라이즈
K054410,케이피티유
K054450,텔레칩스
K054540,삼영엠텍
K054620,APS홀딩스
K054630,에이디칩스
K054670,대한뉴팜
K054780,키이스트
K054800,아이디스홀딩스
K054920,한컴위드
K054930,유신
K054940,엑사이엔씨
K054950,제이브이엠
K055490,테이팩스
K055550,신한지주
K056080,유진로봇
K056090,유앤아이
K056190,에스에프에이
K056360,코위버
K056700,신화인터텍
K057030,YBM넷
K057050,현대홈쇼핑
K057540,옴니시스템
K057680,티사이언티픽
K057880,필로시스헬스케어
K058110,멕아이씨에스
K058400,KNN
K058420,제이웨이
K058430,포스코강판
K058470,리노공업
K058610,에스피지
K058630,엠게임
K058650,세아홀딩스
K058730,다스코
K058820,CMG제약
K058850,KTcs
K058860,KTis
K059090,미코
K059100,아이컴포넌트
K059120,아진엑스텍
K059210,메타바이오메드
K060150,인선이엔티
K060230,이그잭스
K060240,룽투코리아
K060250,NHN한국사이버결제
K060260,뉴보텍
K060280,큐렉소
K060310,3S
K060370,KT서브마린
K060380,동양에스텍
K060480,국일신동
K060540,에스에이티
K060560,홈센타홀딩스
K060570,드림어스컴퍼니
K060590,씨티씨바이오
K060720,KH바텍
K060850,영림원소프트랩
K060900,대한그린파워
K060980,한라홀딩스
K061040,알에프텍
K061250,화일약품
K061970,엘비세미콘
K062860,티엘아이
K062970,피피아이
K063080,게임빌
K063160,종근당바이오
K063170,서울옥션
K063440,SM Life Design
K063570,한국전자금융
K063760,이엘피
K064090,에프앤리퍼블릭
K064240,홈캐스트
K064260,다날
K064290,인텍플러스
K064350,현대로템
K064480,브리지텍
K064510,에코마이스터
K064550,바이오니아
K064760,티씨케이
K064800,젬백스링크
K064820,케이프
K064850,에프앤가이드
K064960,S&T모티브
K065060,지엔코
K065130,탑엔지니어링
K065150,MP그룹
K065170,넥스트BT
K065350,신성델타테크
K065370,위세아이텍
K065440,이루온
K065450,빅텍
K065500,오리엔트정공
K065510,휴비츠
K065530,전파기지국
K065560,녹원씨엔아이
K065570,삼영이엔씨
K065650,메디프론
K065660,안트로젠
K065680,우주일렉트로
K065690,파커스
K065710,서호전기
K065770,CS
K065950,웰크론
K066130,하츠
K066310,큐에스아이
K066360,체리부로
K066410,버킷스튜디오
K066430,와이오엠
K066570,LG전자
K066590,우수AMS
K066620,국보디자인
K066670,디스플레이텍
K066700,테라젠이텍스
K066900,디에이피
K066910,손오공
K066970,엘앤에프
K066980,브레인콘텐츠
K067000,조이시티
K067010,이씨에스
K067080,대화제약
K067160,아프리카TV
K067170,오텍
K067280,멀티캠퍼스
K067290,JW신약
K067310,하나마이크론
K067390,아스트
K067570,엔브이에이치코리아
K067630,에이치엘비생명과학
K067730,로지시스
K067770,세진티에스
K067830,세이브존I&C
K067900,와이엔텍
K067920,이글루시큐리티
K067990,도이치모터스
K068050,팬엔터테인먼트
K068240,다원시스
K068270,셀트리온
K068290,삼성출판사
K068330,일신바이오
K068400,SK렌터카
K068760,셀트리온제약
K068790,DMS
K068930,디지털대성
K068940,아이씨케이
K069080,웹젠
K069110,코스온
K069140,누리플랜
K069260,휴켐스
K069410,엔텔스
K069460,대호에이엘
K069510,에스텍
K069620,대웅제약
K069640,한세엠케이
K069730,DSR제강
K069920,아이에스이커머스
K069960,현대백화점
K070590,한솔인티큐브
K070960,용평리조트
K071050,한국금융지주
K071090,하이스틸
K071200,인피니트헬스케어
K071280,로체시스템즈
K071320,지역난방공사
K071460,위니아딤채
K071670,에이테크솔루션
K071840,롯데하이마트
K071850,캐스텍코리아
K071950,코아스
K071970,STX중공업
K072020,중앙백신
K072130,유엔젤
K072470,우리산업홀딩스
K072520,제넨바이오
K072710,농심홀딩스
K072770,율호
K072870,메가스터디
K072950,빛샘전자
K072990,에이치시티
K073010,케이에스피
K073110,엘엠에스
K073190,듀오백
K073240,금호타이어
K073490,이노와이어리스
K073540,에프알텍
K073560,우리손에프앤지
K073570,WI
K073640,테라사이언스
K074430,아미노로직스
K074600,원익QnC
K074610,이엔플러스
K075130,플랜티넷
K075180,새론오토모티브
K075580,세진중공업
K075970,동국알앤에스
K076080,웰크론한텍
K076610,해성옵틱스
K077360,덕산하이메탈
K077500,유니퀘스트
K077970,STX엔진
K078000,텔코웨어
K078020,이베스트투자증권
K078070,유비쿼스홀딩스
K078130,국일제지
K078140,대봉엘에스
K078150,HB테크놀러지
K078160,메디포스트
K078340,컴투스
K078350,한양디지텍
K078520,에이블씨엔씨
K078590,OQP
K078600,대주전자재료
K078650,코렌
K078860,아이오케이
K078890,가온미디어
K078930,GS
K078940,코드네이처
K079000,와토스코리아
